Rank,Name,Gender
3,Aitana Bonmatí,Female
6,Alexia Putellas,Female
8,Caroline Graham Hansen,Female
10,Sam Kerr,Female
14,Sophia Smith,Female
17,Ada Hegerberg,Female
19,Mapi León,Female
24,Marie Katoto,Female
26,Debinha,Female
27,Kadidiatou Diani,Female
31,Patri Guijarro,Female
35,Beth Mead,Female
36,Wendie Renard,Female
37,Guro Reiten,Female
39,Irene Paredes,Female
41,Christiane Endler,Female
48,Alexandra Popp,Female
51,Sakina Karchaoui,Female
54,Mallory Swanson,Female
58,Rose Lavelle,Female
59,Alex Morgan,Female
64,Ewa Pajor,Female
71,Khadija Shaw,Female
75,Fridolina Rolfö,Female
78,Selma Bacha,Female
80,Lauren Hemp,Female
82,Mary Earps,Female
84,Lauren James,Female
85,Lena Oberdorf,Female
88,Grace Geyoro,Female
93,Chloe Kelly,Female
95,Lindsey Horan,Female
96,Lea Schüller,Female
98,Jill Roord,Female
99,Kim Little,Female
101,Ona Batlle,Female
101,Millie Bright,Female
101,Lucy Bronze,Female
101,Rachel Daly,Female
101,Caitlin Foord,Female
101,Merle Frohms,Female
101,Cristiana Girelli,Female
101,Kathrin Hendrich,Female
101,Svenja Huth,Female
101,Ashley Lawrence,Female
101,Eugénie Le Sommer,Female
101,Clara Mateo,Female
101,Katie McCabe,Female
101,Vivianne Miedema,Female
101,Chiamaka Nnadozie,Female
101,Asisat Oshoala,Female
101,Alessia Russo,Female
101,Becky Sauerbrunn,Female
101,Kailen Sheridan,Female
101,Keira Walsh,Female
101,Leah Williamson,Female
149,Sandy Baltimore,Female
149,Ann-Katrin Berger,Female
149,Hannah Blundell,Female
149,Lisa Boattin,Female
149,Kadeisha Buchanan,Female
149,Mariona,Female
149,Jane Campbell,Female
149,Catarina Macario,Female
149,Arianna Caruso,Female
149,Tabitha Chawinga,Female
149,Sara Däbritz,Female
149,Linda Dallmann,Female
149,Sara Doorsoun,Female
149,Crystal Dunn,Female
149,Ingrid Syrstad Engen,Female
149,Manuela Giugliano,Female
149,Alex Greenwood,Female
149,Pernille Harder,Female
149,Yui Hasegawa,Female
149,Amandine Henry,Female
149,Amanda Ilestedt,Female
149,Dominique Janssen,Female
149,Fran Kirby,Female
149,Amel Majri,Female
149,Griedge Mbock,Female
149,Lara Prašnikar,Female
149,Alba Redondo,Female
149,Trinity Rodman,Female
149,Georgia Stanway,Female
149,Ella Toone,Female
149,Marta,Female
149,Glódís Perla Viggósdóttir,Female
149,Caroline Weir,Female
149,Manuela Zinsberger,Female
222,Rasheedat Ajibade,Female
222,Lineth Beerensteyn,Female
222,Mathilde Bourdieu,Female
222,Klara Bühl,Female
222,Olga Carmona,Female
222,Ellie Carpenter,Female
222,Steph Catley,Female
222,Cata Coll,Female
222,Erin Cuthbert,Female
222,Melchie Dumornay,Female
222,Damaris Egurrola,Female
222,Magdalena Eriksson,Female
222,Jess Fishlock,Female
222,Laura Freigang,Female
222,Leah Galton,Female
222,Vanessa Gilles,Female
222,Giulia Gwinn,Female
222,Aubrey Kingsbury,Female
222,Saki Kumagai,Female
222,Racheal Kundananji,Female
222,Elena Linari,Female
222,Lieke Martens van Leer,Female
222,Alyssa Naeher,Female
222,Yuki Nagasato,Female
222,Katharina Naschenweng,Female
222,Ashleigh Neville,Female
222,Constance Picaud,Female
222,Claudia Pina,Female
222,Mayra Ramírez,Female
222,Ashley Sanchez,Female
222,Ouleymata Sarr,Female
222,Almuth Schult,Female
222,Christine Sinclair,Female
222,Sherida Spitse,Female
222,Hina Sugita,Female
222,Gaëtane Thiney,Female
222,Lia Wälti,Female
222,Lynn Williams,Female
322,Ramona Bachmann,Female
322,Luana,Female
322,Bella Bixby,Female
322,Stina Blackstenius,Female
322,Barbara Bonansea,Female
322,Annaïg Butel,Female
322,Rafaelle,Female
322,Daphne Corboz,Female
322,Antônia Silva,Female
322,Kenza Dali,Female
322,Athenea,Female
322,Vanessa DiBernardo,Female
322,Bethany England,Female
322,Paula Fernández,Female
322,Adrianna Franch,Female
322,Gabriela García,Female
322,Valentina Giacinti,Female
322,Théa Gréboval,Female
322,Giada Greggi,Female
322,Emilie Haavi,Female
322,Chantal Hagel,Female
322,Ashley Hatch,Female
322,Marina Hegering,Female
322,Sofia Huerta,Female
322,Ji So Yun,Female
322,Sveindís Jane Jónsdóttir,Female
322,Meghan Klingenberg,Female
322,Sydney Lohmann,Female
322,Frida Maanum,Female
322,Hailie Mace,Female
322,Melvine Malard,Female
322,Janina Minge,Female
322,Casey Murphy,Female
322,Leila Ouahabi,Female
322,Nikita Parris,Female
322,Tanja Pawollek,Female
322,Ève Périsset,Female
322,Pauline Peyraud-Magnin,Female
322,Felicitas Rauch,Female
322,Misa,Female
322,Cecilia Salvai,Female
322,Sophie Schmidt,Female
322,Olivia Schough,Female
322,Desiree Scott,Female
322,Tabea Sellner,Female
322,Emily Sonnett,Female
322,Ángela Sosa,Female
322,Daniëlle van de Donk,Female
322,Emily van Egmond,Female
322,Manuela Vanegas,Female
458,Nicole Anyomi,Female
458,Viviane Asseyi,Female
458,Leire Baños,Female
458,Lauren Barnes,Female
458,Jule Brand,Female
458,Niamh Charles,Female
458,Danielle Colaprico,Female
458,Geyse,Female
458,Elisa De Almeida,Female
458,Océane Deslandes,Female
458,Paulina Dudek,Female
458,Julie Dufour,Female
458,Nerea Eizagirre,Female
458,Abby Erceg,Female
458,Emily Fox,Female
458,Naomi Girma,Female
458,Esther,Female
458,Rachel Hill,Female
458,Sofia Jakobsson,Female
458,Synne Jensen,Female
458,Ewelina Kamczyk,Female
458,Hasret Kayikci,Female
458,Lo'eau LaBonta,Female
458,Maya Le Tissier,Female
458,Alisha Lehmann,Female
458,Sydney Leroux,Female
458,Melanie Leupolz,Female
458,Dzsenifer Marozsán,Female
458,Carmen Menayo,Female
458,Tatumn Milazzo,Female
458,Jordan Nobbs,Female
458,Gabi Nunes,Female
458,Sjoeke Nüsken,Female
458,Mayumi Pacheco,Female
458,Christen Press,Female
458,Martina Rosucci,Female
458,Amaiur Sarriegi,Female
458,Caroline Seger,Female
458,Linda Sembrant,Female
458,Carolin Simon,Female
458,Andi Sullivan,Female
458,Sandie Toletti,Female
458,Évelyne Viens,Female
458,Lotte Wubben-Moy,Female
458,Bia Zaneratto,Female
577,Tere Abelleira,Female
577,Karen Araya,Female
577,Ane Azkona,Female
577,Charlotte Bilbault,Female
577,Nicole Billa,Female
577,Kessya Bussy,Female
577,Viola Calligaris,Female
577,Deyna Castellanos,Female
577,Rachel Corboz,Female
577,Marine Dafeur,Female
577,Abby Dahlkemper,Female
577,Tierna Davidson,Female
577,Barbara Dunst,Female
577,Jun Endo,Female
577,Laura Feiersinger,Female
577,Naomie Feller,Female
577,Tatiana Pinto,Female
577,Jessie Fleming,Female
577,Sanni Franssi,Female
577,Lola Gallardo,Female
577,Maëlle Garbino,Female
577,Hanna Glas,Female
577,Ana González,Female
577,Sheila,Female
577,Didi Haračić,Female
577,Oihane Hernández,Female
577,Sophie Ingle,Female
577,Kerolin Nicoli,Female
577,Lisa Karl,Female
577,Khiara Keating,Female
577,Sophia Kleinherne,Female
577,Rosemonde Kouassi,Female
577,Hayley Ladd,Female
577,Maëlle Lakrar,Female
577,Lena Lattwein,Female
577,Katie Lund,Female
577,Martín-Prieto,Female
577,Andrea Medina,Female
577,Erëleta Memeti,Female
577,Nuria Mendoza,Female
577,Kelley O'Hara,Female
577,Denise O'Sullivan,Female
577,Midge Purce,Female
577,Géraldine Reuteler,Female
577,Faustine Robert,Female
577,Elisa Senß,Female
577,Marta Torrejón,Female
577,Marion Torrent,Female
577,Ainhoa Moraza,Female
577,Sarah Zadrazil,Female
736,Sara Agrež,Female
736,Eseosa Aigbogun,Female
736,Iris Arnaiz,Female
736,Elizabeth Ball,Female
736,Estefanía Banini,Female
736,Molly Bartrip,Female
736,Vicki Becho,Female
736,Laura Benkarth,Female
736,Vilde Bøe Risa,Female
736,Signe Bruun,Female
736,Linda Caicedo,Female
736,Jelena Čanković,Female
736,Mylène Chavas,Female
736,Hawa Cissoko,Female
736,Sam Coffey,Female
736,Aldana Cometti,Female
736,Jovana Damnjanović,Female
736,Andreia Jacinto,Female
736,Tainara,Female
736,Kristin Demann,Female
736,Savannah DeMelo,Female
736,Lauren,Female
736,Meret Felde,Female
736,Jana Feldkamp,Female
736,Louise Fleury,Female
736,Rocío Gálvez,Female
736,Shei,Female
736,Gemma Gili,Female
736,Dominika Grabowska,Female
736,Jackie Groenen,Female
736,Maria-Luisa Grohs,Female
736,Shea Groom,Female
736,Isabella Hartig,Female
736,Oriane Jean-François,Female
736,Stina Johannes,Female
736,Alanna Kennedy,Female
736,Melissa Kössler,Female
736,Martina Lenzini,Female
736,Elene Lete,Female
736,Marie Levasseur,Female
736,Katie Lind,Female
736,Maitane,Female
736,Noëlle Maritz,Female
736,Sarah Mayling,Female
736,Kristen McNabb,Female
736,Maria Méndez,Female
