Rank,Name,Gender
1,Kylian Mbappé,Male
2,Rodri,Male
4,Erling Haaland,Male
5,Jude Bellingham,Male
7,Vini Jr.,Male
9,Kevin De Bruyne,Male
11,Harry Kane,Male
12,Martin Ødegaard,Male
13,Gianluigi Donnarumma,Male
15,Alisson,Male
16,Thibaut Courtois,Male
18,Lautaro Martínez,Male
20,Virgil van Dijk,Male
21,Marc-André ter Stegen,Male
22,Mohamed Salah,Male
23,Phil Foden,Male
25,Lionel Messi,Male
28,Antoine Griezmann,Male
29,Rúben Dias,Male
30,Robert Lewandowski,Male
32,Federico Valverde,Male
33,Ederson,Male
34,Bernardo Silva,Male
38,Jan Oblak,Male
40,Antonio Rüdiger,Male
42,Florian Wirtz,Male
43,Gregor Kobel,Male
44,William Saliba,Male
45,Victor Osimhen,Male
46,Jamal Musiala,Male
47,Bukayo Saka,Male
49,Paulo Dybala,Male
50,Theo Hernández,Male
52,Neymar Jr,Male
53,Declan Rice,Male
55,Frenkie de Jong,Male
56,Mike Maignan,Male
57,Bruno Fernandes,Male
60,Heung Min Son,Male
61,Marquinhos,Male
62,Alessandro Bastoni,Male
63,İlkay Gündoğan,Male
65,Emiliano Martínez,Male
66,Nicolò Barella,Male
67,Yann Sommer,Male
68,Cristiano Ronaldo,Male
69,Gabriel,Male
70,Granit Xhaka,Male
72,Rodrygo,Male
73,João Cancelo,Male
74,Rafael Leão,Male
76,Grimaldo,Male
77,Luka Modrić,Male
79,Alexis Mac Allister,Male
81,Carvajal,Male
83,Ousmane Dembélé,Male
86,Trent Alexander-Arnold,Male
87,Pedri,Male
89,Jonathan Tah,Male
90,Karim Benzema,Male
91,Bremer,Male
92,Joshua Kimmich,Male
94,Unai Simón,Male
97,Manuel Neuer,Male
100,Hakan Çalhanoğlu,Male
101,David Alaba,Male
101,Ronald Araujo,Male
101,Julian Brandt,Male
101,Éder Militão,Male
101,Bruno Guimarães,Male
101,Alexander Isak,Male
101,N'Golo Kanté,Male
101,Jules Koundé,Male
101,Khvicha Kvaratskhelia,Male
101,Vitinha,Male
101,James Maddison,Male
101,Riyad Mahrez,Male
101,Giorgi Mamardashvili,Male
101,Mikel Merino,Male
101,Sergej Milinković-Savić,Male
101,Loïs Openda,Male
101,Palhinha,Male
101,Cole Palmer,Male
101,Andrew Robertson,Male
101,Leroy Sané,Male
101,Nico Schlotterbeck,Male
101,John Stones,Male
101,Aurélien Tchouaméni,Male
101,Diogo Jota,Male
101,Sandro Tonali,Male
101,Ollie Watkins,Male
101,Nico Williams,Male
149,Francesco Acerbi,Male
149,Manuel Akanji,Male
149,Nathan Aké,Male
149,Julián Álvarez,Male
149,Iago Aspas,Male
149,Yassine Bounou,Male
149,Federico Chiesa,Male
149,Kingsley Coman,Male
149,Rúben Neves,Male
149,Matthijs de Ligt,Male
149,Rodrigo De Paul,Male
149,Raphinha,Male
149,Luis Díaz,Male
149,Federico Dimarco,Male
149,Artem Dovbyk,Male
149,Jeremie Frimpong,Male
149,Aleix García,Male
149,Jack Grealish,Male
149,Serhou Guirassy,Male
149,Viktor Gyökeres,Male
149,Achraf Hakimi,Male
149,Lukáš Hrádecký,Male
149,Kalidou Koulibaly,Male
149,Sadio Mané,Male
149,Lisandro Martínez,Male
149,Diogo Costa,Male
149,Ferland Mendy,Male
149,Christopher Nkunku,Male
